,Absolute Magnitude,avg_dia,Relative Velocity km per hr,Miss Dist.(kilometers),Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Epoch Osculation,Eccentricity,Semi Major Axis,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion
3829,22.4,0.1424106986,33873.2478236226,45515704.0,2,0.305843,4.327,2458000.5,0.1845590026339274,1.577495219836958,18.19707388487211,329.4039863425331,723.6865559427893,1.286354275404061,163.7440040006784,1.868636164269855,2458133.275880072,293.9502489949946,0.4974529332398703
3830,25.4,0.035771950149999995,33564.4171603012,2151724.25,7,0.00587239,5.461,2458000.5,0.3325162101893322,1.135654993431338,3.694289300325845,141.8598914946841,442.0465944592851,0.7580312989329586,279.5536454232508,1.513278687929718,2457970.4428703035,24.47833967377459,0.8143937867915368
3831,26.0,0.0271357992,77603.9105915755,50621420.0,1,0.00523263,3.603,2458000.5,0.5648823212706338,2.01826216032603,4.153093873156641,203.3374313042723,1047.284783835016,0.8781815462683782,231.8761148640316,3.158342774383682,2457714.6636572466,98.25511167503132,0.3437460426778361
3832,19.2,0.6216452461499999,36908.9025628212,51946484.0,0,0.0128834,5.538,2458000.5,0.5398258734009305,1.091105354255674,3.559532996748471,108.6336067246379,416.2923760154814,0.5020984534221733,284.4565745265057,1.680112255089175,2457875.040090891,108.4948221042195,0.8647768269160232
3833,20.3,0.3745783022,20167.4783951296,72431816.0,0,0.0361452,4.482,2458000.5,0.3268860094667629,1.500428387623457,2.323961816739914,136.3376919071937,671.30724653551,1.009959339502576,103.1657198787001,1.990897435744339,2458166.29092589,271.0917785730075,0.536267114436634
3834,19.3,0.5936666012,94777.809659847,17361726.0,0,0.0289041,5.509,2458000.5,0.1836939533965696,1.052973998611236,50.06224641263285,155.4809431198817,394.6616230640835,0.859549041982544,101.9155473600335,1.246398955239928,2457978.719960688,19.86718164170532,0.9121738191948414
3835,23.0,0.10802956235,71279.0905106102,5419523.0,7,0.0359295,4.097,2458000.5,0.6416753668064545,1.595602405037865,10.38019729159601,164.9871988744279,736.1824334529824,0.571743646507932,253.5614038556408,2.619461163567798,2458133.356680539,295.031857837449,0.4890092233136558
3836,23.0,0.10802956235,66434.2382592785,51314560.0,6,0.0614593,7.297,2458000.5,0.3563717537975913,0.7804257112751907,29.51764056324188,345.5102906537396,251.8232242533907,0.5023040318393184,352.2323639671159,1.058547390711063,2458124.678750476,182.4772544154511,1.429574262133024
3837,21.8,0.18773386305,59893.2331968625,62254696.0,7,0.0262721,5.421,2458000.5,0.2066801262877156,1.147612889990363,15.16990873187237,11.54639792281144,449.0467456157741,0.9104241129577448,50.43508187215381,1.384801667022982,2457996.196627774,3.450006077518633,0.8016982719835436
3838,19.359,0.57775354225,56037.2195105593,16720462.0,5,0.107487,4.852,2458000.5,0.3370541044947202,1.304741041631192,23.6093994060918,340.482013039082,544.3583792666533,0.8649727182466821,199.9218485706383,1.744509365015702,2457818.5456027696,120.3317253811918,0.6613290319604954
3839,25.061,0.0418160125,25576.3989790592,16710354.0,6,0.0428706,5.994,2458000.5,0.116033003042471,1.016602094649306,4.115795097220903,16.71965950993899,374.3905922507317,0.8986427007078809,220.5159877166043,1.134561488590732,2457901.902764696,94.80741622258569,0.9615626232373534
3840,17.6,1.29880100755,30836.9354612244,47967296.0,0,0.0141367,4.818,2458000.5,0.3056501538115821,1.335473912799192,17.24706305341797,116.6731884154359,563.7045499404559,0.9272861059407635,133.7846002459559,1.74366171965762,2457934.200812055,42.34081073633605,0.6386324184149779
3841,18.9,0.7137442406500001,58551.7981493398,51953656.0,0,0.16863,6.534,2458000.5,0.5053015262502338,0.8804148130852401,28.58532296576249,161.1057118127949,301.7376046546292,0.4355398642999539,202.4088884278374,1.325289761870526,2458104.143835427,236.3436171756681,1.193089606487923
3842,19.3,0.5936666012,67483.1360277209,68425064.0,0,0.288564,5.208,2458000.5,0.4770113693206633,1.145107088545999,36.31489902999444,157.8058248966187,447.5768150206188,0.5988779882198738,141.594029428469,1.691336188872124,2458185.436857065,211.2495144761958,0.8043312073334623
3843,19.1,0.650942484,67888.3881739536,35293916.0,0,0.117222,3.477,2458000.5,0.600065088599369,2.101036229747976,10.39392567125809,288.1311858904734,1112.3686455861,0.8402777383937727,174.70072987,3.36179472110218,2457799.472023744,65.05943127705183,0.3236337174986789
3844,19.5,0.5414303753,59370.6702756056,69430664.0,1,0.281585,4.081,2458000.5,0.3230276711644665,1.629312375293877,33.10868989120224,341.303089654469,759.6349905261036,1.10299939310325,249.5683503384785,2.155625357484503,2458336.576287011,200.7294755600962,0.4739118188206066
3845,21.6,0.2058460875,49934.5739343961,51397568.0,0,0.0139591,5.478,2458000.5,0.1320464248241487,1.133217563559941,16.65684849460285,195.06472362,440.6242268706041,0.983580235743918,350.8573172483557,1.282854891375963,2458045.719887,323.0543253702045,0.8170227101600552
3846,19.5,0.5414303753,84615.3453475796,27918598.0,0,0.0369778,3.326,2458000.5,0.547945248943476,2.10316491588889,36.77516024716341,335.890867451085,1114.059585046842,0.9507456924829676,176.8977898688782,3.255584139294813,2457836.0672507817,53.13520974375038,0.3231425004838168
3847,24.9,0.04503421705,74253.8414609813,28052720.0,8,0.0367322,4.186,2456002.5,0.3750881021360361,1.570997706057932,30.91721041168596,175.0209785150329,719.2199958521653,0.981735158032596,35.28128980864685,2.160260254083269,2456033.407668538,344.5294058315125,0.5005422569953095
3848,24.2,0.06216452459999999,14155.6700962359,11419043.0,6,0.036039,5.118,2458000.5,0.2342994501420863,1.24851465079394,4.151419360342046,97.5041204619366,509.5524467856896,0.9559883546185812,66.08044970670223,1.541040946969299,2458250.771016468,183.1829392697557,0.7065023478366512
3849,20.7,0.31156066120000003,62751.4962944688,39785228.0,1,0.121499,3.843,2458000.5,0.652898985976238,1.706178029009095,23.89342408449383,145.0359277010589,814.0197547413511,0.5922161239741206,110.7202097503916,2.82013993404407,2457596.873084064,178.5038862887091,0.442249709424297
3850,25.0,0.043007343399999995,31130.4049539576,2261038.5,5,0.0016083,3.942,2458000.5,0.4816960433662048,1.783296677172447,3.779921229370805,172.3184833165424,869.8288888297083,0.9242897236303792,320.704816845922,2.642303630714515,2457567.925248272,179.0316608498546,0.4138745040813187
